Albuquerque 	40345 	10052311.42
Anaheim 	40086 	10076416.36
Anchorage 	39806 	9933500.4
Arlington 	40348 	10072207.97
Atlanta 	40168 	9997146.7
Aurora 	39808 	9992970.92
Austin 	40332 	10057158.9
Bakersfield 	40326 	10031208.92
Baltimore 	40196 	10096521.45
Baton Rouge 	40387 	10131273.23
Birmingham 	40253 	10076606.52
Boise 	40203 	10039166.74
Boston 	40338 	10039473.28
Buffalo 	40053 	10001941.19
Chandler 	39826 	9919559.86
Charlotte 	40509 	10112531.34
Chesapeake 	40288 	10038504.92
Chicago 	40220 	10062522.07
Chula Vista 	40080 	9974951.34
Cincinnati 	40452 	10139505.74
Cleveland 	40313 	10067835.84
Colorado Springs 	40389 	10061105.87
Columbus 	40225 	10035241.03
Corpus Christi 	39925 	9976522.77
Dallas 	40368 	10066548.45
Denver 	40199 	10031534.87
Detroit 	39999 	9979260.76
Durham 	40501 	10153890.21
El Paso 	39882 	10016409.97
Fort Wayne 	40439 	10132594.02
Fort Worth 	40336 	10120830.65
Fremont 	40219 	10053242.36
Fresno 	40043 	9976260.26
Garland 	40185 	10071043.92
Gilbert 	40277 	10062115.19
Glendale 	40264 	10044493.97
Greensboro 	40232 	10033781.39
Henderson 	40194 	10053416.05
Hialeah 	40312 	10047052.76
Honolulu 	39944 	10006273.49
Houston 	40114 	10042106.27
Indianapolis 	40321 	10090272.77
Irvine 	40325 	10084867.45
Irving 	40352 	10133944.08
Jacksonville 	40400 	10072003.33
Jersey City 	39612 	9920141.87
Kansas City 	39713 	9968118.73
Laredo 	40342 	10144604.98
Las Vegas 	40165 	10054257.98
Lexington 	40343 	10084510.95
Lincoln 	40345 	10069485.4
Long Beach 	39942 	10006380.25
Los Angeles 	40254 	10084576.8
Louisville 	40099 	10008566.47
Lubbock 	39837 	9958119.15
Madison 	40177 	10032035.54
Memphis 	40222 	10038565.32
Mesa 	40207 	10053642.6
Miami 	39935 	9947316.07
Milwaukee 	40316 	10064482.65
Minneapolis 	39991 	10011757.78
Nashville 	39854 	9961450.51
New Orleans 	39914 	9949257.75
New York 	40364 	10085293.55
Newark 	40577 	10144052.8
Norfolk 	40231 	10088563.17
North Las Vegas 	40013 	10029652.51
Oakland 	39728 	9947292.52
Oklahoma City 	40446 	10118986.25
Omaha 	40209 	10026642.34
Orlando 	40195 	10074922.52
Philadelphia 	40748 	10190080.26
Phoenix 	40333 	10079076.7
Pittsburgh 	40358 	10090124.82
Plano 	40170 	10046103.61
Portland 	40065 	10007635.77
Raleigh 	40261 	10061442.54
Reno 	40254 	10079955.16
Richmond 	39983 	9992941.59
Riverside 	39963 	10006695.42
Rochester 	40455 	10067606.92
Sacramento 	40561 	10123468.18
Saint Paul 	40160 	10057233.57
San Antonio 	40197 	10014441.7
San Bernardino 	40041 	9965152.04
San Diego 	39901 	9966038.39
San Francisco 	39983 	9995570.54
San Jose 	39898 	9936721.41
Santa Ana 	40306 	10050309.93
Scottsdale 	40173 	10037929.85
Seattle 	39866 	9936267.37
Spokane 	40222 	10083362.98
St. Louis 	39982 	10002105.14
St. Petersburg 	40093 	9986495.54
Stockton 	39996 	10006412.64
Tampa 	40136 	10106428.55
Toledo 	40139 	10020768.88
Tucson 	39870 	9998252.47
Tulsa 	40247 	10064955.9
Virginia Beach 	40169 	10086553.5
Washington 	40503 	10139363.39
Wichita 	40422 	10083643.21
Winston–Salem 	40208 	10044011.83
